stemmed,sentiment,labeling,filtered,cekTF-IDF
paksain banget anjing menit vagina pantek enttot ibuk kau,-1,kasar,anjing pantek,ada
video jujur iklan yg skip anjing,-1,kasar,anjing,ada
dickyahm mampuskamuwkwk,-1,tidak kasar,,tidak ada
didik banged yutub chenel ni anak kontol bagus,-1,kasar,kontol,ada
nonton tertawa ajr vagina ngilu,-1,tidak kasar,,tidak ada
dukung si toxic pd bangga makan tai papa dl makan tai wkwkkwk fuck kaya gin subscribe ny,-1,kasar,tai tai,ada
ane subsr lau semenjak makan jemboet auto unsub jijik sumpah liat bego,-1,kasar,bego,ada
eee kentot,-1,tidak kasar,,tidak ada
eehhh malu ngejilat ludah ngatain moba analog maen ml wkwk hamba edsen duit ngartis sampe makan jembut malu,-1,kasar,jembut,ada
eh manusia makan jembut hahahahah,-1,kasar,jembut,ada
eh pokok subscriber ericko lim orang orang nonton video sebal tiru orang bego enngak otak ericko lim gin,-1,kasar,bego,ada
eh sorry gays liat vagina,-1,tidak kasar,,tidak ada
ekkekw haters idiot gitu,-1,kasar,idiot,ada
elo kentot aj,-1,tidak kasar,,tidak ada
elu yg bacot ank lonte,-1,kasar,bacot lonte,ada
emang kayak bangsat lagu suka nyindirin orang wkwk,-1,kasar,bangsat,ada
emangkamungentot goblok awas tu ss paskamumeggang memekkamusendiri viral nnti,-1,kasar,goblok,ada
vagina ngilu,-1,tidak kasar,,tidak ada
vagina ngilu,-1,tidak kasar,,tidak ada
er bang gantung lingkung orang tua lingkung jembut yah anak jembuttttt,-1,kasar,jembut,ada
eric pantat tebal,-1,kasar,pantat,ada
erick hina slow kontol benci udah tau gasuka nonton yg bego elo benci kontol orang bayang uang juta rupiah belanja mr money jalan arah mata angin jalan cari yg untung uang juta rupiah uang kaget,-1,kasar,hina kontol bego kontol,ada
erick emang gitu kagak ngetoxic beda cirikhasnya kontol emang ngehibur ea so kontol gedekamupada suka jan bct bocah cihhh,-1,kasar,kontol kontol,ada
erick kolim kaya tai,-1,kasar,tai,ada
erick kontol hahahaha canda bang maaf suka video bang udah subscribe chanel karya bang,-1,kasar,kontol,ada
erick pantat udah tebel sma komentar,-1,kasar,pantat,ada
erick reza bagus erick tolol dasar benci kontol beda erick sma arap erick serius bijak arap kontol,-1,kasar,tolol kontol kontol,ada
erick the best suka erick bantai anjing,-1,kasar,anjing,ada
ericko bangkai,-1,kasar,bangkai,ada
ericko challenge cukur jembut,-1,kasar,jembut,ada
ericko jancuk,-1,kasar,jancuk,ada
ericko lim ajigkamuseru konten unfaedah ngehibur erick hibur lk kaum pantat tipis wkkwkw welcome to internet kidskamugk kasih makan orang tampil yangkamumau gitu pikir wkkwkwk kenal goblok,-1,kasar,pantat goblok,ada
ericko lim keren kontol,-1,kasar,kontol,ada
ericko lim kentot,-1,tidak kasar,,tidak ada
ericko lim makan jembut this is haram golong tobat ericko lim mumpung,-1,kasar,jembut,ada
ericko lim tai rindu pas subscribernya,-1,kasar,tai,ada
ericko yng komentar jelek tolol,-1,kasar,tolol,ada
erickolim toxic anjing auto unsubs kotor tujuh like,-1,kasar,anjing,ada
erico elu gendeng bnget,-1,kasar,gendeng,ada
erik kentot sukakamutoxic anjing gudd entoddd,-1,kasar,anjing,ada
erikokamubacot main pung mobile hp kentang sampe chiken pro celeng,-1,kasar,celeng,ada
eriko my inspirasi gokiltapi ngomong jaga kin kali makan jembut pacar njing,-1,kasar,jembut,ada
erikolim is the best noob,-1,kasar,noob,ada
family friendly banget anjing moga sukseskamuanjing,-1,kasar,anjing,ada
fernanda achmad dateng cuman dialike ama balesin komentar gemar sang puja manusia makan jembut nonton entar yg hatersanya lord,-1,kasar,jembut,ada
firman gar hormat mamak mu vagina tu youtuber rick bilang ati ati bro bro gore,-1,tidak kasar,,tidak ada
fuad dany kentot lo,-1,tidak kasar,,tidak ada
fzmaq gaming kotor lw,-1,tidak kasar,,tidak ada
ngewe kim himie,-1,kasar,ngewe,ada
suka cabut suka stay anjing by the way suka chanel anjing,-1,kasar,anjing anjing,ada
suka channelnya tpikamusubs sma tonton anjing munafik fuck,-1,kasar,anjing munafik,ada
suka channel ericko lim tapikamutonton anjing,-1,kasar,anjing,ada
bawa bawa agama komentar kalokamusendiri munapikkamungocok selesai tu sabunkamunonton bokep ngocok,-1,kasar,bokep,ada
gacha starlite syirik idiot y wkokwokwok,-1,kasar,idiot,ada
suka karya orang suka pantengin orang goblok tu sum sum tulang anjing,-1,kasar,goblok anjing,ada
pikir bacot org lanjutin gemar dukung erickolim,-1,kasar,bacot,ada
galang anak kotor cina,-1,tidak kasar,,tidak ada
tampan kau tampang perut gitu tampan ouww yeaahhh wakakak bego tu yg komentar,-1,kasar,bego,ada
tampan ericko lim sumpah gagah perkasa anjir wkasti horny cewe udah subscribe kak ody ama erickolim,-1,kasar,anjir,ada
tampan tampan bego,-1,kasar,bego,ada
tampan kontol mukak aj kaya vagina bekurik,-1,kasar,kontol,ada
gara gara subscribe lucu anjir,-1,kasar,anjir,ada
gara gara elu reza delete channel kotor,-1,tidak kasar,,tidak ada
geblekkamubang nonton dasar benci,-1,tidak kasar,,tidak ada
gege intro back kentot,-1,tidak kasar,,tidak ada
gembelkamugoblok ericko lim,-1,tidak kasar,,tidak ada
gin ni lahir lubang pantat lubang vagina,-1,kasar,pantat,ada
goblokkamukalo komentar lobang vagina emak luua bilang ati ati bro bro gore,-1,tidak kasar,,tidak ada
akuin suka gaya bang pinter nyari duit kacawan konten yg poin ngasilin duit bangsat kampung luntang lantung gin hasil wkwkwkwk,-1,kasar,bangsat,ada
supkriberkamutapi suka nontonkamuanjing kotor kentot bangcad taiiiiii hhh,-1,tidak kasar,,tidak ada
dukung bang erick kontol suka video challenge yg saking suka ama iklan liat in s sampe subscribe semangat bang kontrol salam memexxxx,-1,kasar,kontol,ada
erickolim cakep suer guelaporin biar mampus,-1,kasar,mampus,ada
gemar bangti jembut kratos jembutos,-1,kasar,jembut,ada
gila muka tai,-1,kasar,gila tai,ada
habis pikir benci org stress cupu dungu idiot yg cmn dumay knyataan merka org terbully sisih yg butuh teman perhati,-1,kasar,cupu dungu idiot,ada
kasih bokep,-1,kasar,bokep,ada
suka yg kayak gitu bang diemin benci mah emang benci kontol idiot sampah,-1,kasar,kontol idiot sampah,ada
like menghibung anjing p,-1,kasar,anjing,ada
gemar bnr bnr ngefans selesai ni org walopun slengean kontol yaa liat pribadi yg ntap maju kontoru,-1,kasar,kontol,ada
dukungkamubang darikamumain pb guq dqh subcribekamukrenkamumantap chanel suka koment gelud anjing send alamat kontol,-1,kasar,anjing kontol,ada
tujuh samakamulim video makan tai biar buming,-1,kasar,tai,ada
soapres kontol bacotkamubangsat benci ppqkamugak karyakamugak coba colab lucinta luna booom,-1,kasar,kontol,ada
suka anjing yg unfaedah gin,-1,kasar,anjing,ada
suka banget ama konten bangkarna videokamu lucu bang ngebuat videotiap bang suka banget bilang yg jelek bang you is the best bangdiem like dislike vagina,-1,tidak kasar,,tidak ada
suka gaya bicarakamukontol wkwkwk,-1,tidak kasar,,tidak ada
suka kontenkamurik meng hibur bangnget guave away anjing,-1,kasar,anjing,ada
suka ngeres haha suka bilang vagina kontol,-1,kasar,kontol,ada
udah subscribe suruh erick pencet tombol subscribe pencet laa gitu nonton vidionya erick sampek jembut rontok,-1,kasar,jembut,ada
guaa sukaa gaya kontol,-1,kasar,kontol,ada
benci yein biar dapet adsence kontol emangkamurik xd,-1,kasar,kontol,ada
ngikutin erick kali nonton video judul putusin urat malu cfd salah hibur ketemu idola bodoh wkwk hibur inti sih suka gausah tonton semangat rick gemar sedih kali cok pardede tretan muslim out mli hiyaaa hiyaaa hiyaaaaa,-1,kasar,bodoh,ada
birah coli,-1,tidak kasar,,tidak ada
suka gayakamukali kali makan kontol jembut mulu,-1,kasar,kontol jembut,ada
suka goblokkamuanjing,-1,tidak kasar,,tidak ada
suka erick komentar komentar haterskamutolol tuhan langsung,-1,tidak kasar,,tidak ada
suka sifatkamubang karya bang video dalem deket anjing asw,-1,kasar,anjing,ada
suka konten yg gin dripada gaming gerakin analog anjing bosen,-1,kasar,anjing,ada
nonton chennel pas erick maen lol yg bahas item seperma ketawa ketawa yg nyontoh laku orang tolol erick yg contoh yg contoh orang tau contoh mas contoh arti anak slb,-1,kasar,tolol,ada
nonton asa hibur njir tertawa nontonkamulim benci suka nontong anjing ribet bangetkamukek kadal mesir enghibur bahasa gapantes,-1,kasar,anjing,ada
tujuh samakamubang emang konten bangsat didik lucu senang banting konten bokep youtube ngerusak otak pikir papa kuota habis nonton chanel goblok lumayan lucu aneh aneh sukses,-1,kasar,bangsat bokep goblok aneh aneh,ada
slalu nonton video anjing dsini haterskamukntl channel keluarga yg family friendly super anjing keren,-1,kasar,anjing anjing,ada
channel jdi kubur stlh kena bacot ny vngnc,-1,kasar,bacot,ada
yg suka videokamuitu iklan menit kontol anjinnkkkk,-1,kasar,kontol,ada
haahaah tertawa dengernya vagina ngilu hahahaahah,-1,tidak kasar,,tidak ada
haha benci bego udah tau gasuka mas nonton gpp si benci uang lol,-1,kasar,bego,ada
haha biar eric cuman komentar hidup haha whaai hartes ericolim tau lucinta luna hidup cuman komentar hidup orang aduh kasi mak coli malem dapet anak kaya bangsat,-1,kasar,bangsat,ada
haha org bego yah,-1,kasar,bego,ada
hahaha haters goblok hahaha suka ni chanel gausah buka chanel bangsat haha,-1,kasar,goblok bangsat,ada
hahaha jembut,-1,kasar,jembut,ada
hahaha tai ericko lim,-1,kasar,tai,ada
hahahaha the rick komentar bacot paham,-1,kasar,bacot,ada
hahahahaha anjir kocak,-1,kasar,anjir,ada
hahha anjir org,-1,kasar,anjir,ada
hahha kuat hati pas menit brapa senyum a kontol mata juling pepek,-1,kasar,kontol,ada
halah tai botak unsub bro,-1,kasar,tai,ada
halah tai makan jembut pasionkamusitu,-1,kasar,tai jembut,ada
orang tato makan jembut daerah rugi tato berani makan jembudner,-1,kasar,jembut,ada
nulis sambung wkwkwk tai lu,-1,kasar,tai,ada
hate eriko kayak x lahir mulut vagina,-1,tidak kasar,,tidak ada
benci benci vagina ngilu,-1,tidak kasar,,tidak ada
benci autis otak digade beli diamond mobile legend wkwkwk,-1,kasar,autis,ada
benci auto kesel trigger mampus kau benci,-1,kasar,mampus,ada
benci bacot nonton,-1,kasar,bacot,ada
benci bacot suruh tutup akun channel,-1,kasar,bacot,ada
benci bego asli,-1,kasar,bego,ada
benci bego auto kayaaa bangtetep ngomong teriak gitu,-1,kasar,bego,ada
benci bego bang,-1,kasar,bego,ada
benci bodoh ngk suka tontong anjingg,-1,kasar,bodoh,ada
benci gaada kerja ngehina karya tolol goblok gan dengar rendah dilakuin ato yg dewasa erti mksd komentar,-1,kasar,tolol goblok,ada
benci goblok suka gausah nonton canel emang kaya cenel freni femeli dunia orang baper mati kontol,-1,kasar,goblok kontol,ada
benci benci nonton biar dapet hibur yoi bang udel mendem lanjutin kontol ehh bego anjing kentot wehh seru uga benci bang udel mendem kasih saran kekamusemua benci orang mikirkamujadi benci faidahnya ngotak dikit ngapa komenin gakjelas doang gitu udah tau bang udel mendem emang ngasih tau bang udel mendem nama hiburkamukalo liat videoyang nonton tv untukkamubang udel mendem chanel yanv bahagia ngatainkamudulu biarkamutambah semangat fuckkk kentot kuda anak udeh gitu dah untukkamuproject yangkamubikin lancar biar biariin,-1,kasar,kontol bego anjing,ada
benci bang haterskamupasti miskin sampek haterskamubanyak makan sekarangkamukaya kontol,-1,kasar,miskin kontol,ada
benci dengar bang channel yh serah nguntungin abang benci suka tonton kontol anak anjing,-1,kasar,kontol anjing,ada
benci bego erick blom tau nikmat sarap jembut campur saos tomat kkk,-1,kasar,bego sarap jembut,ada
benci kayk kontol faxx pencintraan nonton channel eric luh suka ngentoddd,-1,kasar,kontol,ada
benci kontol suka erickolim tonton,-1,kasar,kontol,ada
benci kontol suka nonton anjing sesimple anjing,-1,kasar,kontol anjing anjing,ada
haterskamudari kalang org miskin erick cari benci yg kaya dikit napa wakakakak,-1,kasar,miskin,ada
benci mah gitu erick sinting kwkw cem pantat,-1,kasar,sinting pantat,ada
benci makhluk munafik gasuka tonton tau didik penasaran ken liat emang faedah perilaku gausah cerna pake otak tolol dasar biji hylos,-1,kasar,munafik tolol,ada
benci kentot tembok gih wkwk,-1,tidak kasar,,tidak ada
benci miskin erick kayazxuan celaka tutorial fanny kabel noclickbait,-1,kasar,miskin celaka,ada
benci ngeroast ericko kebal pantek bakar kentot,-1,kasar,pantek,ada
benci bodoh orang kaya gin gituin doain waras,-1,kasar,bodoh,ada
benci goblok anjig tenang rick bain jg kayakamumalah komunitas wkkwk idiot,-1,kasar,goblok idiot,ada
benci pupuk benci subur by the way pupuk hhmmm tai yes tai yg manfaat,-1,kasar,tai tai,ada
benci diam urusin orang nonton subscribe like bully kentot anak kontol,-1,kasar,kontol,ada
benci kontol auto kaya kentot channel susu kental manis suka nonton goblok bantu lihat iklan kentot,-1,kasar,kontol goblok,ada
benci setan,-1,kasar,setan,ada
benci sok motivasi anjing sukak tonton,-1,kasar,anjing,ada
benci suka emang gitu bacot kaya bner benci bangsat,-1,kasar,bacot bangsat,ada
benci sumber uang anjir,-1,kasar,anjir,ada
benci tai kambingangm gift sultan niih,-1,kasar,tai,ada
benci taikamuganteng njir,-1,tidak kasar,,tidak ada
benci tolol suka eriko lim ngapain nonton channel tolol,-1,kasar,tolol tolol,ada
benci yg bacot yg kaya,-1,kasar,bacot,ada
hatersnyakamupada nampilin kebodohnnya anjir kwkwk,-1,kasar,anjir,ada
hatersnya mulut pedis yg sabar yaa semangat beryoutube jembut pacar njing,-1,kasar,jembut,ada
hatter kontol punyak kontol hatter sangkin kontol tau lg bilanginnya hattee sibok kali ngurusin hidup org hidup urus kontol hidup tu bagus kali yg kontol hatter,-1,kasar,kontol kontol kontol kontol kontol,ada
haters video bagus erico haters anjing bacot,-1,kasar,anjing bacot,ada
heaterskontol suka y nonton goblok kontol,-1,kasar,goblok kontol,ada
heeei wattsapp broo youtube riwend gimanakamubilang bakall karnakamugak pentingkamukira gogle sinting muncul jago sutuasi genting ahh kah idola anak ngefans gaya gamingkamuyang bobrok,-1,kasar,sinting,ada
hello anak slb idiot orang orang yg istimewa,-1,kasar,idiot,ada
heran channel kaum pantat tipis nonton aneh emang,-1,kasar,pantat aneh,ada
heter kontol atta halilintar buly ericko lim suka cakap kotorkamubulykamupilih klokkamuanak atta klokkamumau neng ketawa ykamuikut orang yg lucu bahasa bro jdikamugk sok,-1,kasar,kontol,ada
benci otakkamuisi tai primitiv,-1,kasar,tai,ada
hhhmmmm bau vagina lelah nyekip ads kentot t channel bangsat,-1,kasar,bangsat,ada
hibur kimak sma erick maju dah sukses bwt erickohimehime,-1,kasar,kimak,ada
hirup bau hpppppppp bau vagina,-1,tidak kasar,,tidak ada
homo asw,-1,kasar,homo,ada
homo bngst,-1,kasar,homo,ada
htters emng kea anjing suka gausah nonton la kotor gausah sok an ngomong komentar so keras datengin nyimeng kontol,-1,kasar,anjing kontol,ada
hy benci hatersnya ericko lim orang suka nyinyir doang dasar manusia manusia kontol,-1,kasar,kontol,ada
i love you bro bekose only u the next fuckin idiot pink guy and can feel my hart with a good love fuck yeah,-1,kasar,idiot,ada
narutokamuitu madara arap hashirama kuat bacot doang karya msing jdi mo hate jg tpikamuada karya youtube yotuber yg ceban salah beli tu tonton,-1,kasar,bacot,ada
idola dahhhhh nonton biar dapet hibur yoi bang udel mendem lanjutin kontol ehh bego anjing kentot wehh seru uga benci bang udel mendem kasih saran kekamusemua benci orang mikirkamujadi benci faidahnya ngotak dikit ngapa komenin gakjelas doang gitu udah tau bang udel mendem emang ngasih tau bang udel mendem nama hiburkamukalo liat videoyang nonton tv untukkamubang udel mendem chanel yanv bahagia ngatainkamudulu biarkamutambah semangat fuckkk kentot kuda anak udeh gitu dah untukkamuproject yangkamubikin lancar biar biariin,-1,kasar,kontol bego anjing,ada
ikeh ikeh khimochie ngan bacot,-1,kasar,bacot,ada
iklan foodpanda mulu tai,-1,kasar,tai,ada
iklan menit skip njeng nutup ytridkamuanti skip club biarkamukaga miskin,-1,kasar,miskin,ada
iklan trading skipp kotor,-1,tidak kasar,,tidak ada
ericko lim makan jeeeeemmmmbooooottttt jembut makan jembut otak inspirasi,-1,kasar,jembut jembut,ada
anak anak jalan setan mermaidman,-1,kasar,setan,ada
benci buta ato baca angka g tk ajakamugblk baca angka like dislike g becus,-1,kasar,buta,ada
yg suka soapking toxic parah ttp suka homo be the king for gemar ntoll benci poin gan jess no limit subscribe channel,-1,kasar,homo,ada
interview bokep japonese ric,-1,kasar,bokep,ada
inti ngewe,-1,kasar,ngewe,ada
inti setan enak ericolim enak,-1,kasar,setan,ada
intro bacot anak esdeh ngedit tiktok,-1,kasar,bacot,ada
intro intro youtuber senglek njirah gay hjomo ghiasdogojofhen e subsvribede a and assunsubscribe ahhahahahhahahasdjasixqw asshoel fkasking you be tch mogakamusadar sih mememks ngilu ah asdijqwixqwozqoa ogw gaje ashjhfxkwqiuxisaiwis help me pslaesae me gay omgomgomgomoasda,-1,kasar,gay gay,ada
intro tai,-1,kasar,tai,ada
intro legend main hebat kontol,-1,kasar,kontol,ada
yg hate comment kontol gitu suka kingsoapers pergi kontol,-1,kasar,kontol kontol,ada
iya nanya ericko bau vagina,-1,tidak kasar,,tidak ada
gin tau vagina,-1,tidak kasar,,tidak ada
gin tau vagina,-1,tidak kasar,,tidak ada
gin bang erick emang kontol konten emang sampah shitcontent ya suka bangsaaat suka bangsaaat so klean ladies folow instagram padheli oke sekian thx,-1,kasar,kontol sampah,ada
gin gan suka laku si anak kontol aka erick kemarin gbk andddd satpam nanya halo selamat siang acara yutuprewind yak ohh iya bro dah selesai bro acara lelah gbk acara ytrwn selesai janji rick ketemu luh nampar luh kenceng tenanga salam kenal bro erick ramadan see you motherfucker,-1,kasar,kontol,ada
jajahah komentar lohh anak anak bego oon adeh bocah bego iri orang jdi sukses,-1,kasar,bego bego,ada
jamsker anjir,-1,kasar,anjir,ada
ngebully youtube kentot,-1,tidak kasar,,tidak ada
tolol lahkamusemua bocah gblkkamucomment ngatur ericko hakkamuapa plerkamuitu situ tuhan ajg yg makan jembud yg ngerasain bukankamutaik yg ken melet nganggu hidupkamutolong tolol jan pelihara mendingkamumelihara ayam dikit tololkamubilang tolol buatkamuapa njing ngaruh ama hidupkamukankamubilang negarakamubuta kmrn asi games indonesia,-1,kasar,tolol jembud tolol tolol,ada
jembut,-1,kasar,jembut,ada
jembut asin kremes enaktos,-1,kasar,jembut,ada
jembut numbuh,-1,kasar,jembut,ada
jess no bokep,-1,kasar,bokep,ada
jual tombol jembut,-1,kasar,jembut,ada
jujur bang peduli makan jembut arap makan tai peduli manfaatin ketawa,-1,kasar,jembut tai,ada
juta subscribe kentot pacar mantan bang auto adsens,-1,tidak kasar,,tidak ada
kadang pantat tebal hadap kotor kotor bicara gud mang,-1,kasar,pantat,ada
kafir angkat tangan,-1,kasar,kafir,ada
suka nonton anjing ane tertawa goblo liat yt hibur,-1,kasar,anjing,ada
kak eriko makan jembut,-1,kasar,jembut,ada
ngehate dapet duit bego,-1,kasar,bego,ada
channel didik hps channel lunya kontol u,-1,kasar,kontol,ada
hamilin gitu ngilu tu vagina iya dah mak,-1,tidak kasar,,tidak ada
benci g suka erick pergi anjing,-1,kasar,anjing,ada
ketemu tai mukakamuyg kaya pisang sisir,-1,kasar,tai,ada
suka gosah nonton anjing,-1,kasar,anjing,ada
suka jan liat anjing mudah,-1,kasar,anjing,ada
suka syukur gapapa sesimple anjing,-1,kasar,anjing,ada
kalimat benci bacot kau jembut,-1,kasar,bacot jembut,ada
mah nama malaikat anjing,-1,kasar,anjing,ada
tau gemar link bokep bangkorea sok sok pintar karya mah hha fakkk,-1,kasar,bokep,ada
suka ush nonton anjing,-1,kasar,anjing,ada
suka ush nonton bngst tolol sel sel zigot,-1,kasar,tolol,ada
erik bodo bodo liat video lol bacot kaya,-1,kasar,bacot,ada
bacot bujang,-1,kasar,bacot,ada
tod a ngebully youtube kentot,-1,tidak kasar,,tidak ada
konten bokep gabakal benci bang,-1,kasar,bokep,ada
bodoh cringe bodoh semangat conten gemar,-1,kasar,bodoh bodoh,ada
cuman pede vagina,-1,tidak kasar,,tidak ada
emang tampan bang sombong hathers erti ngatain orang bacol sombong bacot,-1,kasar,bacot,ada
goblok tolol suka njir,-1,kasar,goblok tolol,ada
comen anjingg suka yu diem dasar anak anjing,-1,kasar,anjing,ada
ngatain bodoh pantat tebel anjir ngapain pikirin orang posisi senang udah ngelakuin bodoh bayar saran banyakin konten konten kontol faedah,-1,kasar,bodoh pantat anjir bodoh kontol,ada
benci kontol yg suka ngebully bawa uang orang tod bully ericko ngasih uang ericko ragu ngebully orang ngebully orang orang yg bully kenal,-1,kasar,kontol,ada
suka ni org tonton anjing youtubers faedah buka youtube lg anjing hapus youtubelu masyarakat goblok youtube full ama citra wkwkw benci no matter,-1,kasar,anjing anjing goblok,ada
tolol suka njinkkkk,-1,kasar,tolol,ada
kang makan jembut,-1,kasar,jembut,ada
kangen anjir ama opening,-1,kasar,anjir,ada
kangen bacot rick anak gemar pas jaman garena,-1,kasar,bacot,ada
kangen titit dora,-1,kasar,titit,ada
kotor comennan orang kotor juta subscribe botak,-1,tidak kasar,,tidak ada
kapankamubotak tai,-1,kasar,tai,ada
kapankamumakan jembut anjenkkkkkkkk,-1,kasar,jembut,ada
makan jembut,-1,kasar,jembut,ada
makan jembut cukk,-1,kasar,jembut,ada
kentot young lex,-1,tidak kasar,,tidak ada
kasi benci bacot miskin u todak channel hibur yg didik nendidik subscribe si erick krna udah paham emang video didik tetep subscribe tetep support krna entertainer entertainer pokok hibur nggk didik,-1,kasar,bacot miskin,ada
kasik bulu jembutkamuaja yg ngehate lu,-1,tidak kasar,,tidak ada
kaya kenal ngomong bantu n jembut coba,-1,kasar,jembut,ada
kaya vagina,-1,tidak kasar,,tidak ada
kbnykan yg komentar sampah fansnya arap arap sampah fansnya najis wkwkwkwk no smile,-1,kasar,sampah sampah najis,ada
nya haterskamujg yg indonesia maju farhan bodoh tulang wkwk yg malu in indonesia jg eh yg ngatain goblok tulang,-1,kasar,bodoh goblok,ada
kemarin makan bulu ketek plus jembut anjing,-1,kasar,jembut anjing,ada
ken gemers bocah noob,-1,kasar,noob,ada
kenaappaaaaaaa vagina ngilu,-1,tidak kasar,,tidak ada
vagina ngilu yg muncul ajg,-1,tidak kasar,,tidak ada
vagina ngilu wkwkwkwwkk bacot dikommentkamucuma unsub lapor yg gitu miskin,-1,kasar,bacot miskin,ada
vagina ngiluuuu,-1,tidak kasar,,tidak ada
keren bang rico kocakkk anjing,-1,kasar,anjing,ada
keren bang slow subscribe kontol eenak,-1,kasar,kontol,ada
keren anjing,-1,kasar,anjing,ada
kerenkamuanjing,-1,tidak kasar,,tidak ada
keren erick tahan channel upload konten yg tolol tolol,-1,kasar,tolol tolol,ada
kirain intro nyampe jam tai,-1,kasar,tai,ada
klik iklan bego biar erick kaya adsense,-1,kasar,bego,ada
liatkamugua s anjir,-1,kasar,anjir,ada
knp vagina ngilukamulim toxic oke kontool,-1,tidak kasar,,tidak ada
bodoh,-1,kasar,bodoh,ada
d ruang kerjakamubau vagina,-1,tidak kasar,,tidak ada
vagina ngilu,-1,tidak kasar,,tidak ada
birah,-1,tidak kasar,,tidak ada
komentar bego bilang cennel didik plies orng yg pintar dikit ken konten yg didik nonton berita cari konten yg memng mndidik tonton mario teguh berita gampng broo bego,-1,kasar,bego bego,ada
komentar menit konten kgk mutu tonton gobloog lahir beda orang lahir mmk lubang berak,-1,kasar,berak,ada
komentar menit konten kgk mutu tonton gobloog lahir beda orang lahir mmk lubang berak,-1,kasar,berak,ada
koment yg didik d jadiin konten ekkaakakakkwkakakkak komentar vagina ngilu wkakakaka,-1,tidak kasar,,tidak ada
kontol wkkwkw sadar elu subscribe elu turun mendambah elu bocah videokontol udah bego begoin wkkwkw pantesan hancurin reza arab oktovian reza gokil and keren elu bocah muka cem pepek hitung detik lihat subscirbe salam anoniymus,-1,kasar,kontol bego,ada
gila anjing melet teriak gaya orang setruk anjing kentot suka liat wajahlu pas mas kaya orang setruk triak kentot,-1,kasar,gila anjing anjing,ada
lagukamusampah kentot,-1,tidak kasar,,tidak ada
part erick kontol keren kontoro,-1,kasar,kontol,ada
lawak ngediss mabok toxic bebas goblok nista agama gaada salah salah,-1,kasar,goblok nista,ada
baikkamuhapus tu channel rick makkamumuka anjing,-1,kasar,anjing,ada
lha jg kotor bego jg ngatur,-1,kasar,bego,ada
liatin nama mampus,-1,kasar,mampus,ada
lo mah nama malaikat anjing,-1,kasar,anjing,ada
lo bilang muka erik kontol karnakamusuka erik ledek sianggap canda erik,-1,kasar,kontol,ada
lo ngecringe autis,-1,kasar,autis,ada
lo emang tampan rick tapikamubanyak lemak lemak gendut,-1,kasar,gendut,ada
comen anjingg suka yu diem dasar anak anjing,-1,kasar,anjing,ada
log loco bego baca,-1,kasar,bego,ada
lu autis yak bang,-1,kasar,autis,ada
lu bacot,-1,kasar,bacot,ada
lu capek ngeheat si eric tetep miskin lha eric yangkamuhate kaya njing g plis,-1,kasar,miskin,ada
lu tampan erick sorry homo,-1,kasar,homo,ada
lu tampan tapikamugendut jikakamugak gendut mesti gantenglih tod,-1,kasar,gendut,ada
lu jilat vagina,-1,tidak kasar,,tidak ada
lu kaya tai,-1,kasar,tai,ada
lu pandang jahat ampas taukamuitu jing contoh temenkamuyg kaneki harga angkat ujung ujung cundang,-1,kasar,ampas cundang,ada
lu rela nyakitin dirikamusendiri subscriber hate benci kampang,-1,kasar,kampang,ada
lu gila puki kau kotor trigered,-1,kasar,gila,ada
lucu bangkamukeep likeke komentar kalokamusendiri munapikkamungocok selesai tu sabunkamunonton bokep ngocok,-1,kasar,bokep,ada
lucu bang toxic sensor hahaha suka toxic kaya dululo rumah kontol,-1,kasar,kontol,ada
lucu vagina ngilu,-1,tidak kasar,,tidak ada
makan jembud jembud makan,-1,kasar,jembud jembud,ada
makan kamus kentot lo,-1,tidak kasar,,tidak ada
cinta samakamukontol bang,-1,tidak kasar,,tidak ada
maksain anjir bal hatersdong ya,-1,kasar,anjir,ada
mamakkamulontee tmpilan kyl perek jalang makan tu jembut emak lu,-1,kasar,perek jembut,ada
mamposkamugk dpt adsenes kontol jd miskin lu,-1,kasar,kontol miskin,ada
mampus unsuscribe fuck chanel manfaat,-1,kasar,mampus,ada
mampuskamuhaters biji kuda,-1,tidak kasar,,tidak ada
mampus otongkamucm anjing,-1,kasar,mampus anjing,ada
benci goblok gin otak kontol mah pikir sooo kontolers bangsad,-1,kasar,goblok kontol,ada
orang video bacot kwwkwk,-1,kasar,bacot,ada
mantap anjing hadap benci pake sunti toxic ea tod,-1,kasar,anjing,ada
mantap anjing mpshh ahh bau vagina,-1,kasar,anjing,ada
mantap anjing videokamu wkwkw,-1,kasar,anjing,ada
mantap bang lanjutin karya mu biar benci kontol serah bang,-1,kasar,kontol,ada
mantap bang this is the old of you kontol,-1,kasar,kontol,ada
mantap cuy subscribe pas garena stay for you cokkk ericolim kontol nonton videokamusoal kontenkamuhibur faedah benci nama benci jago ngomong cuman dunia maya doang asli mental tempe,-1,kasar,kontol,ada
mantap kontol vidiokamulain kali yg toxic jing,-1,kasar,kontol,ada
mantap kontoru berkat ngomong susu kontol manis,-1,kasar,kontol,ada
mantapp bang erickkkkkaha hibur bedd hahaha kontol ahaha,-1,kasar,kontol,ada
manusia jembut,-1,kasar,jembut,ada
manusia udah pikir yak ambil gabener gausah ambil suka sihkamuselalu dirikamusendiri orang emang bangsatkamurik,-1,tidak kasar,,tidak ada
meeeeepppets bau vagina oapking,-1,tidak kasar,,tidak ada
