stemmed,sentiment,labeling,filtered
woy anjing stop ancurin generasi anak bangsa koalisi ngancurin gemar sma soap kingnya fuck bngst,-1,kasar,anjing
woy anjing stop ancurin generasi anak bangsa koalisi ngancurin gemar sma soap kingnya fuck bngst,-1,kasar,anjing
woy anjing titik tai kagak skip anjing,-1,kasar,anjing tai anjing
woy bangke video yg lucu kbanyakan video gaming bangsat,-1,kasar,bangsat
woy bangsat nyokapkamundidam anak tai,-1,kasar,bangsat tai
woy bngst konten faedah suka kalokamubikin konten faedah makan jembut konten minum sperma bang jamin viewnya,-1,kasar,jembut
woy erick bangsat haterslu ken ajaa fanskamusejakkamudi garena,-1,kasar,bangsat
woy erick kontol cerdas hatersmu nice x ajig lanjutin le yg dukung,-1,kasar,kontol cerdas
woy erick semangat anjing balas karya,-1,kasar,anjing
woy ericko anjingkamukapan mati tunggu tunggu mati mati anjing,-1,kasar,tunggu tunggu anjing
woy ericko lim bangsatkamukapan botak anjing,-1,kasar,anjing
woy ericko lim kontoll,-1,tidak kasar,
woy erick yg kaya bangsat,-1,kasar,bangsat
woy erick limkamumending indo iklaslahkamudi klaim malaysia hha,-1,tidak kasar,
woy udah subscribe elu subskamumasih k kasih lope lope sampe skrng bangsat,-1,kasar,bangsat
woy hetters hetters tololkamungomenin ericko jelek emangkamubisa kaya eric haters tolol,-1,kasar,tolol
woy sex anjing,-1,kasar,anjing
woy toxic kontol anjing,-1,kasar,kontol anjing
woy tutup channel woy anjing,-1,kasar,anjing
woy kontol anjing bangsat anjing,-1,kasar,kontol anjing bangsat anjing
woy kontol juta subscribe g challenge makan roti isi tai rick botak,-1,kasar,kontol tai
woy kontol juta subscribe kentot,-1,kasar,kontol
woy kontol kapankamugundul anjing,-1,kasar,kontol anjing
woy kontol semangat video bang dengerin orang gemar sedih lihat komentar komentar goblok benci chanel manfaat gin bilang parah parah chanel family frandly dasar benci kontol,-1,kasar,kontol goblok kontol
woy kontol videokamukebanyakan iklan anjing auto kaya lu,-1,kasar,kontol anjing
woykamuhaters kgk suka vedeo erikolim kagakkk nonton begoooo si erikolim mah suka konten yg gitu goblokkamuhaters,-1,tidak kasar,
woy kentot main pb anjing,-1,kasar,anjing
woy plis unsubscribe channel bilang unsubcribe channel anjing,-1,kasar,anjing
woy editanlu kaya hitzeed ch anjing,-1,kasar,anjing
woyy erikontolim anjinkkk mukakamukek kontol muka kontolkamunyadar klokamukek kontol kontol hatekamukarna pngen msuk yutubkamuanjinkkkkk,-1,kasar,kontol kontol kontol
wtf studios kontrol kontol,-1,kasar,kontol
bomat heaterskamuudah komentar udah bantu viewers eric kontol slow tv yt inti hibur dankamuharus tau ambil buruk,-1,kasar,kontol
nama youtuber toxic fansnya toxic sok sok ngehaters tetep liat video tolol banget,-1,kasar,tolol
yaaaa jahat benci nama lovers,-1,tidak kasar,
yaah buly kasi xeh ericolim suka cuman coli coli doang,-1,tidak kasar,
yaelah si arab clubing ngerokok minun alkohol anjing,-1,kasar,anjing
yahh kontol nyimak puki,-1,kasar,kontol
emak bapakkamunyesal anak tolol kayakkamukalau ndak suka tonton simpel anjing,-1,kasar,tolol anjing
yakult kontol,-1,kasar,kontol
bilang channel anjing arti anjenkk tolol bangsat,-1,kasar,anjing tolol bangsat
dislike video kaya bacot doang gede ayo ribut anjing video khusus ketawa tutorial bunuh anjing dislike goblok ericko lim,-1,kasar,bacot anjing anjing goblok
dislike rapstronotkontol,-1,tidak kasar,
ngata in erikkamupunya hati nggakamukalo beratikamubukan manusia bangsat,-1,kasar,bangsat
ngehate arti tolol alias manusia tingkat daya humor lawak rendah,-1,kasar,tolol
ngehate fans si anjing bro,-1,kasar,anjing
kontol like,-1,kasar,kontol
sabar yaaaa erick kontol,-1,kasar,kontol
yap taukamudari temen yg ngasih tau ericolim yg suka nyoli pejunya kn manis and soap,-1,tidak kasar,
yaudah jg g subscribber bego kaya pindah aj deddy corbuzier biar pinter dikit,-1,kasar,bego
yayaya kontol,-1,kasar,kontol
yeee ahhhh intro kontol is back,-1,kasar,kontol
yeeee intro jess no botak anjing,-1,kasar,anjing
yeeeyy orang cancer upload guana nama erickontolim goblok conge an primitif anjing najis nonton videolu,-1,kasar,goblok anjing najis
yg video yg chanel marah si,-1,tidak kasar,
yg komentar jelek eriko lim orang munafik,-1,kasar,munafik
yg dislike rapstronout kontol,-1,kasar,kontol
yg komentar jahat santet ericko lim,-1,tidak kasar,
yg komentar buruk emg erick ngaca lol,-1,tidak kasar,
yg like dukung erick,-1,tidak kasar,
yg kontol like,-1,kasar,kontol
yg fans org gila makan j mbut bocah tolol goblok idiot anak sperma wc kaya tolol,-1,kasar,gila tolol goblok idiot tolol
yg ngebulyy erik panggil bpk suruh kelai kontol,-1,kasar,kontol
yg ngehate munafik erick pdhal smuanya iri gabisa jdi jelek,-1,kasar,munafik
yg ngehate pake real akunkerensih wkwk berani pake fake akun wkwk by the way benci tolol erick upload video buru klik dislike by the way iklan dikit rick skip,-1,kasar,tolol
yg ngehinakamubarusan kubu belah ar p,-1,tidak kasar,
yg nyuruh apus kontol at anjing udah subribre anjing,-1,kasar,kontol anjing anjing
yg sabar rick elu anjing sampah taik kadal melet pencet jembt yg sllu colay kamar mandi yg lele selokan kualitas bagus tuyul yg elu jelek rick sabar ttep semangat pantang serah sabun bnyk terima kasih rick berkat videokamugua tau kuota harga lbh buka xnxx drpd ntn videokamutetep semangat rick dukung jess no limit trimss,-1,kasar,anjing sampah tuyul
yoel septian baca kontol janji anjing,-1,kasar,kontol anjing
yoogss kontoll,-1,tidak kasar,
youtube kontol pake kaca mata sensor,-1,kasar,kontol
youtube entertaining anjing didik les bimbel bangsat goblok yah,-1,kasar,anjing bangsat goblok
youtuber kontolll,-1,tidak kasar,
youtuber jujur kocak benci eriko lim kocak ngakak gila bau vagina kocak saha,-1,kasar,gila
youtuber toxic munafik bro pikir yg kaya erick liem mang lawan wkwkwkww benci bacot kaya tot wkwkwkwkw,-1,kasar,munafik bacot
yt anjing bang dasr abng mei kontol,-1,kasar,anjing kontol
yutuber goblok,-1,kasar,goblok
zayn idrus elo kontol bangsat ngegas,-1,kasar,kontol bangsat
ziroaz didik emng main game main hp nonton youtube didik didik berangkat seko ajar didik wibu kontol,-1,kasar,kontol
zzzzzzzzzzzzzzzz hatres kalok givewaykamujuga kontol goblok,-1,kasar,kontol goblok
marah bilang tolol temennya,-1,kasar,tolol
apas kotor ngntod,-1,tidak kasar,
arap gendut,-1,kasar,gendut
asli benci bego asli,-1,kasar,bego
astaga jebak channel autis,-1,kasar,autis
astaga kuning kaya jembut,-1,kasar,jembut
auhhhhhh bau vagina,-1,tidak kasar,
autis is back yyey,-1,kasar,autis
autiskamuyaa,-1,tidak kasar,
awokwo tai kucing manis d,-1,kasar,tai
kotor aer benci,-1,tidak kasar,
kotor kaget buka video,-1,tidak kasar,
bacot,-1,kasar,bacot
bacot anjing buang konten gaada iklan,-1,kasar,bacot anjing
bacot anjing,-1,kasar,bacot anjing
bacot bocah,-1,kasar,bacot
bacot buncit,-1,kasar,bacot
bacot doang botak anjing,-1,kasar,bacot anjing
bacot benci,-1,kasar,bacot
bacot idiot,-1,kasar,bacot idiot
bacot,-1,kasar,bacot
bacot ajg ngediss idola si arap,-1,kasar,bacot
bacot benci ungkit pepeq gazzz teross erick riau dukung erick,-1,kasar,bacot
bacot kentot,-1,kasar,bacot
bacot kontol,-1,kasar,bacot kontol
bacotkamurik,-1,tidak kasar,
bacot luuu,-1,kasar,bacot
bacot vagina bebek,-1,kasar,bacot
bacot kentot,-1,kasar,bacot
bacot kentot tumben baca komentar benci yg faedah kwkwkwk,-1,kasar,bacot tumben
bacot ngentot,-1,kasar,bacot ngentot
bacot njing,-1,kasar,bacot
bacot alay,-1,kasar,bacot alay
bacot om,-1,kasar,bacot
biar bang peduli benci benci bego,-1,kasar,bego
bagus bagus tolol maju,-1,kasar,tolol
balas lagu erick bacot doang,-1,kasar,bacot
diss si domsdee kotor dekil,-1,tidak kasar,
bandwagon kimak,-1,kasar,kimak
bang aduh anjing nonton suka iklan mulu iklan bangsat,-1,kasar,anjing bangsat
bang baca woiii erickolim woiiii baca woiiiiiikamuitu tampan woiiiiiiiiiiiiiii mpsss bau vagina,-1,tidak kasar,
bang konten ngewe ama pacar biar gregett,-1,kasar,ngewe
bang konten kentot donk,-1,tidak kasar,
bang videounboxing kontol giveaway vagina hehehe,-1,kasar,kontol
bang celleng homo jalan bang,-1,kasar,homo
bang erick komentar herman benci benci elu nonton kontenlu yg didik arti benci suka gengsi akhirat,-1,kasar,gengsi
bang erick kontol bau vagina suka gayakamuwkwkwkw,-1,kasar,kontol
bang erick kontol makas gaya suka niru segani orang sekolah masuk meme kotor,-1,kasar,kontol
bang erick kentot t yok subscriber,-1,tidak kasar,
bang erickolim lg donk nonton lucu anjir bangsat suka ngapaon tonton kentot bang ericko tujuh ngehibur tod ngapainkamusubscribe gasuka ama konten bangsat kena trigger dah,-1,kasar,anjir bangsat bangsat
bang erickolim jalan setan aje bang peduli orang orang idiot,-1,kasar,setan idiot
bang erik tu kaya anjing suka e like,-1,kasar,anjing
bang erik gila youtubekamulu ngehate boi please butuh duit cuman elu doang ngntot kerja elu bacot tingkat slb,-1,kasar,gila bacot
bang eriko limkamubego cuman subscribe nye salud samakamubang,-1,tidak kasar,
bang nanya samakamutolong kepo banget nikamusering ngomong anak kampang ciri khas orang lampung apakamuada turun orang lampung,-1,kasar,kampang
bang haterskamutapi ken bilang vagina,-1,tidak kasar,
bang cewe hode kotor,-1,tidak kasar,
bang nonton videokamusambil boker alhasil tai lancar,-1,kasar,boker tai
bang birah,-1,tidak kasar,
bang nonton elu konten yg mabok macem bang konten yg gila goblk tolol gpp bang seru ketawa and semangat hidup wkkwkwk canda,-1,kasar,gila tolol
bang kagak makan spageti campur tai tunggu,-1,kasar,tai tunggu
bang kagak makan spageti campur tai tunggu,-1,kasar,tai tunggu
bang vagina bau,-1,tidak kasar,
bang niat pidio potong titit,-1,kasar,titit
bang bangsat suka semangat bang,-1,kasar,bangsat
bang kaya tai yg wkwkw jijik,-1,kasar,tai
bang kontol ang fotokamusmaa bowokntl erick mantapppp,-1,kasar,kontol
bang konten makan jembut bang please,-1,kasar,jembut
bang kali konten bayank bacot,-1,kasar,bacot
bang kentot,-1,tidak kasar,
bang ngewe yu homo,-1,kasar,ngewe homo
bang video ngewe subscriberskamusemua wkwkwkwk,-1,kasar,ngewe
bang pikir anak papa papa makan jembut coba,-1,kasar,jembut
bang rick kentot,-1,tidak kasar,
bang riection lagu tai tai tai tai tai tai tai thailand yg virall lagu lumayan toxic hahahah tujuh like,-1,kasar,tai tai tai tai tai tai tai
bang subscribe makan torpedo ama jembut tompel,-1,kasar,jembut
bang suruh kondisi kontol sam vagina suka ngina bang,-1,kasar,kontol
bang liat videokamu suka tertawa anjir ambil pusing orang ngomong bang tau chanel hibur doang orang suka chanel faedah urus suka tonton ambil pusing bang buruk orang yg suka ngomen buruk hidup so sukses bang rajin videokonyol umur kasih gadget tetek,-1,kasar,anjir
bang toxic bacot ome tv bang yg stuju like,-1,kasar,bacot
bangke pas ngomong isis pake iklan anjir wkwkkw,-1,kasar,anjir
bangsad vagina ngiluu,-1,tidak kasar,
bacotkamupukimak,-1,tidak kasar,
bacot luh goblok,-1,kasar,bacot goblok
benci duit by the way kentot d,-1,tidak kasar,
iklan tai,-1,kasar,tai
bapaklu kentot,-1,tidak kasar,
bau vagina,-1,tidak kasar,
bau vagina anjir,-1,kasar,anjir
bau vagina erserah caci maki motivasi erick bersabargas negatif gblok benci,-1,tidak kasar,
bau vagina in bang,-1,tidak kasar,
bau vagina kim hime,-1,tidak kasar,
bau vagina ns,-1,tidak kasar,
bau vagina wkwkwkwk,-1,tidak kasar,
bau tai entar anak,-1,kasar,tai
bego,-1,kasar,bego
bego dna,-1,kasar,bego
bego goblok,-1,kasar,bego goblok
bego hatersnya ngomong,-1,kasar,bego
beli mulut mulut heaters pakai bulu jembutkamurik hahahaha enk kali,-1,tidak kasar,
ericko orang elu tau subscribe ericko k anjing,-1,kasar,anjing
bang gantung lingkung orang tua lingkung jembut yah anak jembuttttt,-1,kasar,jembut
berani makan tai juta subscriber bos,-1,kasar,tai
bang peduli botol yg bacot ampun,-1,kasar,bacot
bg rekrut agung hapsah sodarokamumirip dahkamunontonkamulim benci suka nontong anjing ribet bangetkamukek kadal mesir enghibur bahasa gapantes,-1,kasar,anjing
bgitu bodoh benci comentkamubikin ericko kembang,-1,kasar,bodoh
bgstkamugw suka ing bits kontol by benci kentot haterss fuck fuck,-1,kasar,kontol
big dream work hard and make it happen motivasi yg erik emng konten erik emng kbnykn kontol jg faedah sepenuh konten shitpost manfaat yg beda si erik erik orgnya,-1,kasar,kontol
part lahh anjing tau benci,-1,kasar,anjing
part lahh anjing tau benci lu,-1,kasar,anjing
bilang like ericko vagina lu,-1,tidak kasar,
bilang orang mukak orang jembut kucing,-1,kasar,jembut
bnyk bacot,-1,kasar,bacot
bocah kontol bego komentar bocah sabunnn,-1,kasar,kontol bego
bocah sabunkamukampang,-1,tidak kasar,
bodo bang gwe buka suka samakamutapi nonton videokamubuat hibur doang inget bang pohon buah yg lempari batu kayu tai jembut hate ah tau baca eric kontol,-1,kasar,tai jembut kontol
bodo bang kontenkamukan hibur niru tiru niru salah serah udah anjing,-1,kasar,anjing
bodoh bang,-1,kasar,bodoh
bodoh karakter usak anakbangsa yt rewind citra sponsor kaum elitglobal,-1,kasar,bodoh
bodoh njinggg eriko bodo heter njingg,-1,kasar,bodoh
by the way yg tau rando beranda yt penuhin bacot motivasi,-1,kasar,bacot
btwkamungentot,-1,tidak kasar,
bully org pantat tebel ginian wkwk,-1,kasar,pantat
si benci hah yg duit bang erick bang erick kaya miskin bro,-1,kasar,miskin
ericko kontol suka chanelkamuudh subscribe like gapernah tinggal iklan tonton moga karya erick kontol,-1,kasar,kontol kontol
benci anjing suka y gas kentot,-1,kasar,anjing
benci ericko ush rendahin suka liat bangsat,-1,kasar,bangsat
budek kuping ajg,-1,kasar,budek
bukti bego,-1,kasar,bego
c h a n n e l k e l u a r g a t a p i n g o m o n g n y a m m k k n t l ment lucu anjir,-1,kasar,anjir
cacat,-1,kasar,cacat
kentot,-1,tidak kasar,
chanel kontol bagus,-1,kasar,kontol
channel ericko didik isi hibur asu benci hibur liat asu suka nonton hibur kontol,-1,kasar,kontol
channel ericko didik isi hibur asu kalokamuhaters hibur liat asu suka nonton hibur kontol,-1,kasar,kontol
channel hibur ngedit otak konten noob,-1,kasar,noob
channel plagiat pink guy hehehe joji alas toxic dllkamuapa autis beneran gan,-1,kasar,autis
coba video kentot ody peler,-1,tidak kasar,
coba pause si eric search youtube makan jembut hahaha by the way jemb t eric lebat,-1,kasar,jembut
coba main game kentot,-1,tidak kasar,
colab titis dewa qory gore ajak mkn jembad si vagina bg anus kali ya pantat muka,-1,kasar,pantat
hibur kontol suka mampir kesini goblok save erikontolim,-1,kasar,kontol goblok
internet personality asli anjing,-1,kasar,anjing
cuwekin bayangin setan,-1,kasar,setan
dah tau chanel bego tonton,-1,kasar,bego
darel davin bacot jing,-1,kasar,bacot
padakamubaca komentar benci mendingkamuliat banci tailand bacol erick,-1,kasar,banci
ygkamubacain lihat komentar bobot nampak idiot tu org yg ngehinalu otivasi bang hhe taukamuitu orang,-1,kasar,idiot
dasar benci otak tai kotor,-1,kasar,tai
dasar idiot,-1,kasar,idiot
dasar makan jembut,-1,kasar,jembut
dasar penyembh jembut assu,-1,kasar,jembut
dasar umat goblok koment pedeskamuke si ericko lim ngaruh hidup bodo ya intikamuank tolol hehe,-1,kasar,goblok tolol
dasar yg komentar jahat kaum pantat tipis upgrade pantat,-1,kasar,pantat pantat
dasssaar benci haterrrs laknat miskinn bajingannnn ngomong sosmed vagina konnntoll haters haters miskin idioot konntoll mati kaliaannn hatttterss konntol,-1,kasar,miskin
dear benci suka gausah nonton anjing,-1,kasar,anjing
dear benci nonton channel ericko lim usaha hibur orang so please stop bully noob bitch i like ericko lim,-1,kasar,noob
dear haters maknye erick kontol kagak ngilu nglahirin die pling jijik doang goblok wkwkwkk kontol bajing dunia nyata orang yg first time komenkamumoga bacakamumau dengerin saran yabagus yakontol,-1,kasar,kontol goblok kontol
dengerin suka nonton anjing hahahahaah,-1,kasar,anjing
kamera personal beda coy hobi video kaya tai hibur personal beda banget yg pikir,-1,kasar,tai
paksain banget anjing menit vagina pantek enttot ibuk kau,-1,kasar,anjing pantek
video jujur iklan yg skip anjing,-1,kasar,anjing
dickyahm mampuskamuwkwk,-1,tidak kasar,
didik banged yutub chenel ni anak kontol bagus,-1,kasar,kontol
nonton tertawa ajr vagina ngilu,-1,tidak kasar,
dukung si toxic pd bangga makan tai papa dl makan tai wkwkkwk fuck kaya gin subscribe ny,-1,kasar,tai tai
ane subsr lau semenjak makan jemboet auto unsub jijik sumpah liat bego,-1,kasar,bego
eee kentot,-1,tidak kasar,
eehhh malu ngejilat ludah ngatain moba analog maen ml wkwk hamba edsen duit ngartis sampe makan jembut malu,-1,kasar,jembut
eh manusia makan jembut hahahahah,-1,kasar,jembut
eh pokok subscriber ericko lim orang orang nonton video sebal tiru orang bego enngak otak ericko lim gin,-1,kasar,bego
eh sorry gays liat vagina,-1,tidak kasar,
ekkekw haters idiot gitu,-1,kasar,idiot
elo kentot aj,-1,tidak kasar,
elu yg bacot ank lonte,-1,kasar,bacot lonte
emang kayak bangsat lagu suka nyindirin orang wkwk,-1,kasar,bangsat
emangkamungentot goblok awas tu ss paskamumeggang memekkamusendiri viral nnti,-1,kasar,goblok
vagina ngilu,-1,tidak kasar,
vagina ngilu,-1,tidak kasar,
er bang gantung lingkung orang tua lingkung jembut yah anak jembuttttt,-1,kasar,jembut
eric pantat tebal,-1,kasar,pantat
erick hina slow kontol benci udah tau gasuka nonton yg bego elo benci kontol orang bayang uang juta rupiah belanja mr money jalan arah mata angin jalan cari yg untung uang juta rupiah uang kaget,-1,kasar,hina kontol bego kontol
erick emang gitu kagak ngetoxic beda cirikhasnya kontol emang ngehibur ea so kontol gedekamupada suka jan bct bocah cihhh,-1,kasar,kontol kontol
erick kolim kaya tai,-1,kasar,tai
erick kontol hahahaha canda bang maaf suka video bang udah subscribe chanel karya bang,-1,kasar,kontol
erick pantat udah tebel sma komentar,-1,kasar,pantat
erick reza bagus erick tolol dasar benci kontol beda erick sma arap erick serius bijak arap kontol,-1,kasar,tolol kontol kontol
erick the best suka erick bantai anjing,-1,kasar,anjing
ericko bangkai,-1,kasar,bangkai
ericko challenge cukur jembut,-1,kasar,jembut
ericko jancuk,-1,kasar,jancuk
ericko lim ajigkamuseru konten unfaedah ngehibur erick hibur lk kaum pantat tipis wkkwkw welcome to internet kidskamugk kasih makan orang tampil yangkamumau gitu pikir wkkwkwk kenal goblok,-1,kasar,pantat goblok
ericko lim keren kontol,-1,kasar,kontol
ericko lim kentot,-1,tidak kasar,
ericko lim makan jembut this is haram golong tobat ericko lim mumpung,-1,kasar,jembut
ericko lim tai rindu pas subscribernya,-1,kasar,tai
ericko yng komentar jelek tolol,-1,kasar,tolol
erickolim toxic anjing auto unsubs kotor tujuh like,-1,kasar,anjing
erico elu gendeng bnget,-1,kasar,gendeng
erik kentot sukakamutoxic anjing gudd entoddd,-1,kasar,anjing
erikokamubacot main pung mobile hp kentang sampe chiken pro celeng,-1,kasar,celeng
eriko my inspirasi gokiltapi ngomong jaga kin kali makan jembut pacar njing,-1,kasar,jembut
erikolim is the best noob,-1,kasar,noob
family friendly banget anjing moga sukseskamuanjing,-1,kasar,anjing
fernanda achmad dateng cuman dialike ama balesin komentar gemar sang puja manusia makan jembut nonton entar yg hatersanya lord,-1,kasar,jembut
firman gar hormat mamak mu vagina tu youtuber rick bilang ati ati bro bro gore,-1,tidak kasar,
fuad dany kentot lo,-1,tidak kasar,
fzmaq gaming kotor lw,-1,tidak kasar,
ngewe kim himie,-1,kasar,ngewe
suka cabut suka stay anjing by the way suka chanel anjing,-1,kasar,anjing anjing
suka channelnya tpikamusubs sma tonton anjing munafik fuck,-1,kasar,anjing munafik
suka channel ericko lim tapikamutonton anjing,-1,kasar,anjing
bawa bawa agama komentar kalokamusendiri munapikkamungocok selesai tu sabunkamunonton bokep ngocok,-1,kasar,bokep
gacha starlite syirik idiot y wkokwokwok,-1,kasar,idiot
suka karya orang suka pantengin orang goblok tu sum sum tulang anjing,-1,kasar,goblok anjing
pikir bacot org lanjutin gemar dukung erickolim,-1,kasar,bacot
galang anak kotor cina,-1,tidak kasar,
tampan kau tampang perut gitu tampan ouww yeaahhh wakakak bego tu yg komentar,-1,kasar,bego
tampan ericko lim sumpah gagah perkasa anjir wkasti horny cewe udah subscribe kak ody ama erickolim,-1,kasar,anjir
tampan tampan bego,-1,kasar,bego
tampan kontol mukak aj kaya vagina bekurik,-1,kasar,kontol
gara gara subscribe lucu anjir,-1,kasar,anjir
gara gara elu reza delete channel kotor,-1,tidak kasar,
geblekkamubang nonton dasar benci,-1,tidak kasar,
gege intro back kentot,-1,tidak kasar,
gembelkamugoblok ericko lim,-1,tidak kasar,
gin ni lahir lubang pantat lubang vagina,-1,kasar,pantat
goblokkamukalo komentar lobang vagina emak luua bilang ati ati bro bro gore,-1,tidak kasar,
akuin suka gaya bang pinter nyari duit kacawan konten yg poin ngasilin duit bangsat kampung luntang lantung gin hasil wkwkwkwk,-1,kasar,bangsat
supkriberkamutapi suka nontonkamuanjing kotor kentot bangcad taiiiiii hhh,-1,tidak kasar,
dukung bang erick kontol suka video challenge yg saking suka ama iklan liat in s sampe subscribe semangat bang kontrol salam memexxxx,-1,kasar,kontol
erickolim cakep suer guelaporin biar mampus,-1,kasar,mampus
gemar bangti jembut kratos jembutos,-1,kasar,jembut
gila muka tai,-1,kasar,gila tai
habis pikir benci org stress cupu dungu idiot yg cmn dumay knyataan merka org terbully sisih yg butuh teman perhati,-1,kasar,cupu dungu idiot
kasih bokep,-1,kasar,bokep
suka yg kayak gitu bang diemin benci mah emang benci kontol idiot sampah,-1,kasar,kontol idiot sampah
like menghibung anjing p,-1,kasar,anjing
gemar bnr bnr ngefans selesai ni org walopun slengean kontol yaa liat pribadi yg ntap maju kontoru,-1,kasar,kontol
dukungkamubang darikamumain pb guq dqh subcribekamukrenkamumantap chanel suka koment gelud anjing send alamat kontol,-1,kasar,anjing kontol
tujuh samakamulim video makan tai biar buming,-1,kasar,tai
soapres kontol bacotkamubangsat benci ppqkamugak karyakamugak coba colab lucinta luna booom,-1,kasar,kontol
suka anjing yg unfaedah gin,-1,kasar,anjing
suka banget ama konten bangkarna videokamu lucu bang ngebuat videotiap bang suka banget bilang yg jelek bang you is the best bangdiem like dislike vagina,-1,tidak kasar,
suka gaya bicarakamukontol wkwkwk,-1,tidak kasar,
suka kontenkamurik meng hibur bangnget guave away anjing,-1,kasar,anjing
suka ngeres haha suka bilang vagina kontol,-1,kasar,kontol
udah subscribe suruh erick pencet tombol subscribe pencet laa gitu nonton vidionya erick sampek jembut rontok,-1,kasar,jembut
guaa sukaa gaya kontol,-1,kasar,kontol
benci yein biar dapet adsence kontol emangkamurik xd,-1,kasar,kontol
ngikutin erick kali nonton video judul putusin urat malu cfd salah hibur ketemu idola bodoh wkwk hibur inti sih suka gausah tonton semangat rick gemar sedih kali cok pardede tretan muslim out mli hiyaaa hiyaaa hiyaaaaa,-1,kasar,bodoh
birah coli,-1,tidak kasar,
suka gayakamukali kali makan kontol jembut mulu,-1,kasar,kontol jembut
suka goblokkamuanjing,-1,tidak kasar,
suka erick komentar komentar haterskamutolol tuhan langsung,-1,tidak kasar,
suka sifatkamubang karya bang video dalem deket anjing asw,-1,kasar,anjing
suka konten yg gin dripada gaming gerakin analog anjing bosen,-1,kasar,anjing
nonton chennel pas erick maen lol yg bahas item seperma ketawa ketawa yg nyontoh laku orang tolol erick yg contoh yg contoh orang tau contoh mas contoh arti anak slb,-1,kasar,tolol
nonton asa hibur njir tertawa nontonkamulim benci suka nontong anjing ribet bangetkamukek kadal mesir enghibur bahasa gapantes,-1,kasar,anjing
tujuh samakamubang emang konten bangsat didik lucu senang banting konten bokep youtube ngerusak otak pikir papa kuota habis nonton chanel goblok lumayan lucu aneh aneh sukses,-1,kasar,bangsat bokep goblok aneh aneh
slalu nonton video anjing dsini haterskamukntl channel keluarga yg family friendly super anjing keren,-1,kasar,anjing anjing
channel jdi kubur stlh kena bacot ny vngnc,-1,kasar,bacot
yg suka videokamuitu iklan menit kontol anjinnkkkk,-1,kasar,kontol
haahaah tertawa dengernya vagina ngilu hahahaahah,-1,tidak kasar,
haha benci bego udah tau gasuka mas nonton gpp si benci uang lol,-1,kasar,bego
haha biar eric cuman komentar hidup haha whaai hartes ericolim tau lucinta luna hidup cuman komentar hidup orang aduh kasi mak coli malem dapet anak kaya bangsat,-1,kasar,bangsat
haha org bego yah,-1,kasar,bego
hahaha haters goblok hahaha suka ni chanel gausah buka chanel bangsat haha,-1,kasar,goblok bangsat
hahaha jembut,-1,kasar,jembut
hahaha tai ericko lim,-1,kasar,tai
hahahaha the rick komentar bacot paham,-1,kasar,bacot
hahahahaha anjir kocak,-1,kasar,anjir
hahha anjir org,-1,kasar,anjir
hahha kuat hati pas menit brapa senyum a kontol mata juling pepek,-1,kasar,kontol
halah tai botak unsub bro,-1,kasar,tai
halah tai makan jembut pasionkamusitu,-1,kasar,tai jembut
orang tato makan jembut daerah rugi tato berani makan jembudner,-1,kasar,jembut
nulis sambung wkwkwk tai lu,-1,kasar,tai
hate eriko kayak x lahir mulut vagina,-1,tidak kasar,
benci benci vagina ngilu,-1,tidak kasar,
benci autis otak digade beli diamond mobile legend wkwkwk,-1,kasar,autis
benci auto kesel trigger mampus kau benci,-1,kasar,mampus
benci bacot nonton,-1,kasar,bacot
benci bacot suruh tutup akun channel,-1,kasar,bacot
benci bego asli,-1,kasar,bego
benci bego auto kayaaa bangtetep ngomong teriak gitu,-1,kasar,bego
benci bego bang,-1,kasar,bego
benci bodoh ngk suka tontong anjingg,-1,kasar,bodoh
benci gaada kerja ngehina karya tolol goblok gan dengar rendah dilakuin ato yg dewasa erti mksd komentar,-1,kasar,tolol goblok
benci goblok suka gausah nonton canel emang kaya cenel freni femeli dunia orang baper mati kontol,-1,kasar,goblok kontol
benci benci nonton biar dapet hibur yoi bang udel mendem lanjutin kontol ehh bego anjing kentot wehh seru uga benci bang udel mendem kasih saran kekamusemua benci orang mikirkamujadi benci faidahnya ngotak dikit ngapa komenin gakjelas doang gitu udah tau bang udel mendem emang ngasih tau bang udel mendem nama hiburkamukalo liat videoyang nonton tv untukkamubang udel mendem chanel yanv bahagia ngatainkamudulu biarkamutambah semangat fuckkk kentot kuda anak udeh gitu dah untukkamuproject yangkamubikin lancar biar biariin,-1,kasar,kontol bego anjing
benci bang haterskamupasti miskin sampek haterskamubanyak makan sekarangkamukaya kontol,-1,kasar,miskin kontol
benci dengar bang channel yh serah nguntungin abang benci suka tonton kontol anak anjing,-1,kasar,kontol anjing
benci bego erick blom tau nikmat sarap jembut campur saos tomat kkk,-1,kasar,bego sarap jembut
benci kayk kontol faxx pencintraan nonton channel eric luh suka ngentoddd,-1,kasar,kontol
benci kontol suka erickolim tonton,-1,kasar,kontol
benci kontol suka nonton anjing sesimple anjing,-1,kasar,kontol anjing anjing
haterskamudari kalang org miskin erick cari benci yg kaya dikit napa wakakakak,-1,kasar,miskin
benci mah gitu erick sinting kwkw cem pantat,-1,kasar,sinting pantat
benci makhluk munafik gasuka tonton tau didik penasaran ken liat emang faedah perilaku gausah cerna pake otak tolol dasar biji hylos,-1,kasar,munafik tolol
benci kentot tembok gih wkwk,-1,tidak kasar,
benci miskin erick kayazxuan celaka tutorial fanny kabel noclickbait,-1,kasar,miskin celaka
